country	year	pop	continent	lifeExp	gdpPercap
"Congo,-Dem.-Rep."	1997	47798986	Africa	42.587	312.188423
Myanmar	1997	43247867	Asia	60.328	415
Burundi	1997	6121610	Africa	45.326	463.1151478
Mozambique	1997	16603334	Africa	46.344	472.3460771
Ethiopia	1997	59861301	Africa	49.402	515.8894013
Sierra-Leone	1997	4578212	Africa	39.897	574.6481576
Niger	1997	9666252	Africa	51.313	580.3052092
Rwanda	1997	7212583	Africa	36.087	589.9445051
Liberia	1997	2200725	Africa	42.221	609.1739508
Afghanistan	1997	22227415	Asia	41.763	635.341351
