country	year	pop	continent	lifeExp	gdpPercap
Norway	1997	4405672	Europe	78.32	41283.16433
Kuwait	1997	1765345	Asia	76.156	40300.61996
United-States	1997	272911760	Americas	76.81	35767.43303
Singapore	1997	3802309	Asia	77.158	33519.4766
Switzerland	1997	7193761	Europe	79.37	32135.32301
Netherlands	1997	15604464	Europe	78.03	30246.13063
Denmark	1997	5283663	Europe	76.11	29804.34567
Austria	1997	8069876	Europe	77.51	29095.92066
Canada	1997	30305843	Americas	78.61	28954.92589
Japan	1997	125956499	Asia	80.69	28816.58499
